

        TIME                    RATE            ERROR
        s                       count/s         count/s
    313   3.114000000000000E+04   4.8227912E-01   1.2889452E-01
    314   3.120000000000000E+04   3.1105921E-01   1.0368640E-01
    315   3.126000000000000E+04   2.7619389E-01   9.7649276E-02
    316   3.132000000000000E+04   4.1457334E-01   1.1967701E-01
    317   3.138000000000000E+04   1.7266388E-01   7.7217638E-02
    318   3.144000000000000E+04   2.4163803E-01   9.1330595E-02
    319   3.150000000000000E+04   3.7946153E-01   1.1441197E-01
    320   3.156000000000000E+04   3.1074071E-01   1.0358023E-01
    321   3.162000000000000E+04   3.4549093E-01   1.0925382E-01
    322   3.168000000000000E+04   2.4189755E-01   9.1428682E-02
    323   3.174000000000000E+04   4.1370845E-01   1.1942734E-01
    324   3.180000000000000E+04   3.1125879E-01   1.0375293E-01
    325   3.186000000000000E+04   2.0799434E-01   8.4913336E-02
    326   3.192000000000000E+04   6.5813833E-01   1.5098730E-01
    327   3.198000000000000E+04   2.0751239E-01   8.4716581E-02
    328   3.204000000000000E+04   2.4212022E-01   9.1512844E-02
    329   3.210000000000000E+04   2.7722731E-01   9.8014645E-02
    330   3.216000000000000E+04   2.0758377E-01   8.4745720E-02
    331   3.222000000000000E+04   2.7679753E-01   9.7862706E-02
    332   3.228000000000000E+04   2.7733091E-01   1.2402614E-01
    333   3.480000000000000E+04   3.0789012E-01   3.0789012E-01
    334   3.486000000000000E+04   2.7584052E-01   1.0425790E-01
    335   3.492000000000000E+04   4.8364332E-01   1.2925912E-01
    336   3.498000000000000E+04   4.8328203E-01   1.2916255E-01
    337   3.504000000000000E+04   3.4471709E-01   1.0900911E-01
    338   3.510000000000000E+04   1.7250128E-01   7.7144913E-02
    339   3.516000000000000E+04   3.4524173E-01   1.0917502E-01
    340   3.522000000000000E+04   2.0663930E-01   8.4360145E-02
    341   3.528000000000000E+04   3.1031811E-01   1.0343937E-01
    342   3.534000000000000E+04   1.0342631E-01   5.9713211E-02
    343   3.540000000000000E+04   3.4406626E-01   1.0880331E-01
    344   3.546000000000000E+04   3.7764621E-01   1.1386462E-01
    345   3.552000000000000E+04   4.1480109E-01   1.1974276E-01
